gender,race,parental level of education,lunch quality,test preparation course,math score,reading score,writing score,total score,average score,grade,performance level,best subject,gender encoded,lunch quality encoded
female,Europeans,high school,poor,none,41,46,43,130,43.333333333333336,E,pass,reading,0,1
female,Europeans,some college,high,none,82,90,94,266,88.66666666666667,A,excellent,writing,0,0
male,Europeans,some college,high,none,61,61,62,184,61.333333333333336,B,v. good,writing,1,0
male,Asians,some college,poor,none,28,23,19,70,23.333333333333332,F,weak,math,1,1
male,Europeans,associate's degree,high,completed,82,75,77,234,78.0,A,excellent,math,1,0
female,Americans,some high school,high,none,41,55,51,147,49.0,D,fair,reading,0,0
male,Europeans,high school,high,none,71,60,61,192,64.0,B,v. good,math,1,0
male,Europeans,associate's degree,high,none,47,37,35,119,39.666666666666664,F,weak,math,1,0
male,Arabians,associate's degree,high,completed,62,56,53,171,57.0,C,good,math,1,0
male,Americans,associate's degree,high,none,90,78,81,249,83.0,A,excellent,math,1,0
female,Europeans,bachelor's degree,high,none,83,93,95,271,90.33333333333333,A,excellent,writing,0,0
female,Americans,some college,poor,none,61,68,66,195,65.0,B,v. good,reading,0,1
male,Africans,some high school,high,completed,76,70,69,215,71.66666666666667,A,excellent,math,1,0
male,Europeans,associate's degree,high,none,49,51,43,143,47.666666666666664,D,fair,reading,1,0
female,Americans,some high school,poor,none,24,38,27,89,29.666666666666668,F,weak,reading,0,1
female,Africans,some high school,poor,completed,35,55,60,150,50.0,C,good,writing,0,1
male,Europeans,high school,poor,none,58,61,52,171,57.0,C,good,reading,1,1
female,Europeans,high school,high,none,61,73,63,197,65.66666666666667,B,v. good,reading,0,0
female,Americans,high school,high,completed,69,76,74,219,73.0,A,excellent,reading,0,0
male,Africans,associate's degree,high,completed,67,72,67,206,68.66666666666667,B,v. good,reading,1,0
male,Africans,some college,high,none,79,73,67,219,73.0,A,excellent,math,1,0
female,Europeans,high school,high,none,72,80,75,227,75.66666666666667,A,excellent,reading,0,0
male,Americans,some college,high,none,62,61,57,180,60.0,B,v. good,math,1,0
female,Europeans,bachelor's degree,high,completed,77,94,95,266,88.66666666666667,A,excellent,writing,0,0
male,Africans,high school,poor,none,75,74,66,215,71.66666666666667,A,excellent,math,1,1
male,Arabians,associate's degree,high,none,87,74,76,237,79.0,A,excellent,math,1,0
female,Americans,bachelor's degree,high,none,52,65,69,186,62.0,B,v. good,writing,0,0
male,Arabians,some college,high,none,66,57,52,175,58.333333333333336,C,good,math,1,0
female,Europeans,some college,high,completed,63,78,80,221,73.66666666666667,A,excellent,writing,0,0
female,Europeans,associate's degree,high,none,46,58,57,161,53.666666666666664,C,good,reading,0,0
female,Europeans,some college,high,none,59,71,70,200,66.66666666666667,B,v. good,reading,0,0
female,Americans,bachelor's degree,high,none,61,72,70,203,67.66666666666667,B,v. good,reading,0,0
male,Asians,associate's degree,high,none,63,61,61,185,61.666666666666664,B,v. good,math,1,0
female,Europeans,some college,poor,completed,42,66,69,177,59.0,C,good,writing,0,1
male,Africans,some college,poor,none,59,62,61,182,60.666666666666664,B,v. good,reading,1,1
female,Africans,some college,high,none,80,90,89,259,86.33333333333333,A,excellent,reading,0,0
female,Americans,high school,high,none,58,62,59,179,59.666666666666664,C,good,reading,0,0
male,Americans,some high school,high,completed,85,84,78,247,82.33333333333333,A,excellent,math,1,0
female,Europeans,some college,high,none,52,58,58,168,56.0,C,good,reading,0,0
female,Africans,some high school,poor,none,27,34,32,93,31.0,F,weak,reading,0,1
male,Europeans,some college,high,none,59,60,58,177,59.0,C,good,reading,1,0
male,Asians,bachelor's degree,poor,completed,49,58,60,167,55.666666666666664,C,good,writing,1,1
male,Europeans,high school,high,completed,69,58,53,180,60.0,B,v. good,math,1,0
male,Europeans,bachelor's degree,poor,none,61,66,61,188,62.666666666666664,B,v. good,reading,1,1
female,Asians,some high school,poor,none,44,64,58,166,55.333333333333336,C,good,reading,0,1
female,Africans,some high school,high,none,73,84,85,242,80.66666666666667,A,excellent,writing,0,0
male,Arabians,some college,high,none,84,77,71,232,77.33333333333333,A,excellent,math,1,0
female,Europeans,some college,poor,completed,45,73,70,188,62.666666666666664,B,v. good,reading,0,1
male,Africans,some high school,high,none,74,74,72,220,73.33333333333333,A,excellent,math,1,0
female,Africans,some college,high,completed,82,97,96,275,91.66666666666667,A,excellent,reading,0,0
female,Africans,bachelor's degree,high,none,59,70,73,202,67.33333333333333,B,v. good,writing,0,0
male,Arabians,associate's degree,poor,none,46,43,41,130,43.333333333333336,E,pass,math,1,1
female,Africans,some high school,high,none,80,90,82,252,84.0,A,excellent,reading,0,0
female,Africans,master's degree,poor,completed,85,95,100,280,93.33333333333333,A,excellent,writing,0,1
female,Asians,some high school,high,none,71,83,77,231,77.0,A,excellent,reading,0,0
male,Asians,bachelor's degree,high,none,66,64,62,192,64.0,B,v. good,math,1,0
female,Americans,associate's degree,high,none,80,86,83,249,83.0,A,excellent,reading,0,0
male,Europeans,associate's degree,high,completed,87,100,95,282,94.0,A,excellent,reading,1,0
male,Europeans,master's degree,poor,none,79,81,71,231,77.0,A,excellent,reading,1,1
female,Arabians,some high school,poor,none,38,49,45,132,44.0,E,pass,reading,0,1
female,Asians,some high school,poor,none,38,43,43,124,41.333333333333336,E,pass,reading,0,1
female,Arabians,some college,high,none,67,76,75,218,72.66666666666667,A,excellent,reading,0,0
female,Arabians,bachelor's degree,high,none,64,73,70,207,69.0,B,v. good,reading,0,0
female,Europeans,associate's degree,poor,none,57,78,67,202,67.33333333333333,B,v. good,reading,0,1
female,Africans,high school,high,none,62,64,64,190,63.333333333333336,B,v. good,reading,0,0
male,Africans,master's degree,high,none,73,70,75,218,72.66666666666667,A,excellent,writing,1,0
male,Arabians,some high school,poor,completed,73,67,59,199,66.33333333333333,B,v. good,math,1,1
female,Africans,some college,high,none,77,68,77,222,74.0,A,excellent,math,0,0
male,Arabians,some college,high,none,76,67,67,210,70.0,A,excellent,math,1,0
male,Europeans,associate's degree,high,completed,57,54,56,167,55.666666666666664,C,good,math,1,0
female,Europeans,some high school,high,completed,65,74,77,216,72.0,A,excellent,writing,0,0
male,Asians,high school,poor,none,48,45,41,134,44.666666666666664,E,pass,math,1,1
female,Americans,high school,poor,none,50,67,63,180,60.0,B,v. good,reading,0,1
female,Europeans,associate's degree,high,none,85,89,95,269,89.66666666666667,A,excellent,writing,0,0
male,Americans,some high school,high,none,74,63,57,194,64.66666666666667,B,v. good,math,1,0
male,Africans,some high school,high,none,60,59,54,173,57.666666666666664,C,good,math,1,0
female,Europeans,some high school,high,completed,59,54,67,180,60.0,B,v. good,writing,0,0
male,Asians,some college,high,none,53,43,43,139,46.333333333333336,D,fair,math,1,0
female,Asians,some college,poor,none,49,65,55,169,56.333333333333336,C,good,reading,0,1
female,Africans,high school,high,completed,88,99,100,287,95.66666666666667,A,excellent,writing,0,0
female,Europeans,high school,high,none,54,59,62,175,58.333333333333336,C,good,writing,0,0
female,Europeans,some high school,high,none,63,73,68,204,68.0,B,v. good,reading,0,0
male,Americans,associate's degree,high,completed,65,65,63,193,64.33333333333333,B,v. good,math,1,0
female,Americans,associate's degree,high,none,82,80,77,239,79.66666666666667,A,excellent,math,0,0
female,Africans,high school,poor,completed,52,57,56,165,55.0,C,good,reading,0,1
male,Africans,associate's degree,high,completed,87,84,85,256,85.33333333333333,A,excellent,math,1,0
female,Africans,master's degree,high,completed,70,71,74,215,71.66666666666667,A,excellent,writing,0,0
male,Arabians,some college,high,completed,84,83,78,245,81.66666666666667,A,excellent,math,1,0
male,Africans,associate's degree,high,none,71,66,60,197,65.66666666666667,B,v. good,math,1,0
male,Americans,some high school,high,completed,63,67,67,197,65.66666666666667,B,v. good,reading,1,0
female,Europeans,bachelor's degree,poor,completed,51,72,79,202,67.33333333333333,B,v. good,writing,0,1
male,Arabians,high school,high,none,84,73,69,226,75.33333333333333,A,excellent,math,1,0
male,Europeans,bachelor's degree,high,completed,71,74,68,213,71.0,A,excellent,reading,1,0
male,Europeans,associate's degree,high,none,74,73,67,214,71.33333333333333,A,excellent,math,1,0
male,Africans,some college,high,none,68,59,62,189,63.0,B,v. good,math,1,0
male,Arabians,high school,poor,completed,57,56,54,167,55.666666666666664,C,good,math,1,1
female,Europeans,associate's degree,poor,completed,82,93,93,268,89.33333333333333,A,excellent,reading,0,1
female,Africans,high school,high,completed,57,58,64,179,59.666666666666664,C,good,writing,0,0
female,Africans,master's degree,poor,completed,47,58,67,172,57.333333333333336,C,good,writing,0,1
female,Asians,some high school,high,completed,59,85,80,224,74.66666666666667,A,excellent,reading,0,0
male,Americans,some college,poor,none,41,39,34,114,38.0,F,weak,math,1,1
female,Europeans,some college,poor,none,62,67,62,191,63.666666666666664,B,v. good,reading,0,1
male,Europeans,bachelor's degree,high,none,86,83,86,255,85.0,A,excellent,math,1,0
male,Europeans,some high school,poor,none,69,71,65,205,68.33333333333333,B,v. good,reading,1,1
male,Asians,some high school,poor,none,65,59,53,177,59.0,C,good,math,1,1
male,Europeans,some high school,poor,none,68,63,54,185,61.666666666666664,B,v. good,math,1,1
male,Europeans,associate's degree,poor,none,64,66,59,189,63.0,B,v. good,reading,1,1
female,Europeans,high school,high,none,61,72,70,203,67.66666666666667,B,v. good,reading,0,0
male,Europeans,high school,high,none,61,56,55,172,57.333333333333336,C,good,math,1,0
female,Asians,some high school,poor,none,47,59,50,156,52.0,C,good,reading,0,1
male,Europeans,some high school,high,none,73,66,66,205,68.33333333333333,B,v. good,math,1,0
male,Europeans,some college,poor,completed,50,48,53,151,50.333333333333336,C,good,writing,1,1
male,Africans,associate's degree,high,none,75,68,64,207,69.0,B,v. good,math,1,0
male,Africans,associate's degree,poor,none,75,66,73,214,71.33333333333333,A,excellent,math,1,1
male,Europeans,high school,high,none,70,56,51,177,59.0,C,good,math,1,0
male,Africans,some high school,high,completed,89,88,82,259,86.33333333333333,A,excellent,math,1,0
female,Europeans,some college,high,completed,67,81,79,227,75.66666666666667,A,excellent,reading,0,0
female,Africans,high school,high,none,78,81,80,239,79.66666666666667,A,excellent,reading,0,0
female,Asians,some high school,poor,none,59,73,69,201,67.0,B,v. good,reading,0,1
female,Americans,associate's degree,high,none,73,83,76,232,77.33333333333333,A,excellent,reading,0,0
male,Asians,some high school,poor,none,79,82,73,234,78.0,A,excellent,reading,1,1
female,Europeans,some high school,high,completed,67,74,77,218,72.66666666666667,A,excellent,writing,0,0
male,Africans,some college,poor,none,69,66,60,195,65.0,B,v. good,math,1,1
male,Europeans,high school,high,completed,86,81,80,247,82.33333333333333,A,excellent,math,1,0
male,Americans,high school,high,none,47,46,42,135,45.0,D,fair,math,1,0
male,Americans,associate's degree,high,none,81,73,72,226,75.33333333333333,A,excellent,math,1,0
female,Europeans,some college,poor,completed,64,85,85,234,78.0,A,excellent,reading,0,1
female,Arabians,some college,high,none,100,92,97,289,96.33333333333333,A,excellent,math,0,0
female,Europeans,associate's degree,poor,none,65,77,74,216,72.0,A,excellent,reading,0,1
male,Europeans,some college,poor,none,65,58,49,172,57.333333333333336,C,good,math,1,1
female,Europeans,associate's degree,poor,none,53,61,62,176,58.666666666666664,C,good,writing,0,1
male,Europeans,bachelor's degree,poor,none,37,56,47,140,46.666666666666664,D,fair,reading,1,1
female,Africans,bachelor's degree,high,none,79,89,89,257,85.66666666666667,A,excellent,reading,0,0
male,Africans,associate's degree,poor,none,53,54,48,155,51.666666666666664,C,good,reading,1,1
female,Arabians,bachelor's degree,high,none,100,100,100,300,100.0,A,excellent,math,0,0
male,Americans,high school,high,completed,72,65,68,205,68.33333333333333,B,v. good,math,1,0
male,Europeans,bachelor's degree,poor,none,53,58,55,166,55.333333333333336,C,good,reading,1,1
male,Americans,some college,poor,none,54,54,45,153,51.0,C,good,math,1,1
female,Arabians,some college,high,none,71,70,76,217,72.33333333333333,A,excellent,writing,0,0
female,Europeans,some college,poor,none,77,90,91,258,86.0,A,excellent,writing,0,1
male,Asians,bachelor's degree,high,completed,75,58,62,195,65.0,B,v. good,math,1,0
female,Europeans,some college,high,none,84,87,91,262,87.33333333333333,A,excellent,writing,0,0
female,Africans,associate's degree,poor,none,26,31,38,95,31.666666666666668,F,weak,writing,0,1
male,Asians,high school,poor,completed,72,67,65,204,68.0,B,v. good,math,1,1
female,Asians,high school,poor,completed,77,88,85,250,83.33333333333333,A,excellent,reading,0,1
male,Europeans,some college,high,none,91,74,76,241,80.33333333333333,A,excellent,math,1,0
female,Europeans,associate's degree,high,completed,83,85,90,258,86.0,A,excellent,writing,0,0
female,Europeans,high school,high,none,63,69,74,206,68.66666666666667,B,v. good,writing,0,0
female,Europeans,associate's degree,high,completed,68,86,84,238,79.33333333333333,A,excellent,reading,0,0
female,Africans,some high school,high,none,59,67,61,187,62.333333333333336,B,v. good,reading,0,0
female,Americans,associate's degree,high,completed,90,90,91,271,90.33333333333333,A,excellent,writing,0,0
female,Africans,bachelor's degree,high,completed,71,76,83,230,76.66666666666667,A,excellent,writing,0,0
male,Arabians,bachelor's degree,high,completed,76,62,66,204,68.0,B,v. good,math,1,0
male,Africans,associate's degree,high,none,80,68,72,220,73.33333333333333,A,excellent,math,1,0
female,Africans,master's degree,high,none,55,64,70,189,63.0,B,v. good,writing,0,0
male,Arabians,associate's degree,high,none,76,71,67,214,71.33333333333333,A,excellent,math,1,0
male,Americans,high school,high,completed,73,71,68,212,70.66666666666667,A,excellent,math,1,0
female,Africans,associate's degree,poor,none,52,59,56,167,55.666666666666664,C,good,reading,0,1
male,Europeans,some college,poor,none,68,68,61,197,65.66666666666667,B,v. good,math,1,1
male,Asians,high school,high,none,59,52,46,157,52.333333333333336,C,good,math,1,0
female,Americans,associate's degree,high,none,49,52,54,155,51.666666666666664,C,good,writing,0,0
male,Europeans,high school,high,none,70,74,71,215,71.66666666666667,A,excellent,reading,1,0
male,Africans,some college,poor,none,61,47,56,164,54.666666666666664,C,good,math,1,1
female,Europeans,associate's degree,poor,none,60,75,74,209,69.66666666666667,B,v. good,reading,0,1
male,Americans,some high school,high,completed,64,53,57,174,58.0,C,good,math,1,0
male,Asians,associate's degree,poor,completed,79,82,82,243,81.0,A,excellent,reading,1,1
female,Asians,associate's degree,poor,none,65,85,76,226,75.33333333333333,A,excellent,reading,0,1
female,Europeans,associate's degree,high,none,64,64,70,198,66.0,B,v. good,writing,0,0
female,Europeans,some college,high,none,83,83,90,256,85.33333333333333,A,excellent,writing,0,0
female,Europeans,bachelor's degree,high,none,81,88,90,259,86.33333333333333,A,excellent,writing,0,0
female,Americans,high school,high,none,54,64,68,186,62.0,B,v. good,writing,0,0
male,Africans,high school,high,completed,68,64,66,198,66.0,B,v. good,math,1,0
female,Europeans,some college,high,none,54,48,52,154,51.333333333333336,C,good,math,0,0
female,Africans,some college,poor,completed,59,78,76,213,71.0,A,excellent,reading,0,1
female,Americans,some high school,high,none,66,69,68,203,67.66666666666667,B,v. good,reading,0,0
male,Arabians,some college,high,none,76,71,72,219,73.0,A,excellent,math,1,0
female,Africans,master's degree,high,none,74,79,82,235,78.33333333333333,A,excellent,writing,0,0
female,Americans,associate's degree,high,completed,94,87,92,273,91.0,A,excellent,math,0,0
male,Europeans,some college,poor,none,63,61,54,178,59.333333333333336,C,good,math,1,1
female,Arabians,associate's degree,high,completed,95,89,92,276,92.0,A,excellent,math,0,0
female,Africans,master's degree,poor,none,40,59,54,153,51.0,C,good,reading,0,1
female,Americans,some high school,high,none,82,82,80,244,81.33333333333333,A,excellent,math,0,0
male,Asians,high school,high,none,68,70,66,204,68.0,B,v. good,reading,1,0
male,Americans,bachelor's degree,poor,none,55,59,54,168,56.0,C,good,reading,1,1
male,Europeans,master's degree,high,none,79,78,77,234,78.0,A,excellent,math,1,0
female,Europeans,bachelor's degree,high,none,86,92,87,265,88.33333333333333,A,excellent,reading,0,0
male,Africans,some college,high,none,76,71,73,220,73.33333333333333,A,excellent,math,1,0
male,Asians,some high school,high,none,64,50,43,157,52.333333333333336,C,good,math,1,0
male,Africans,some high school,poor,none,62,49,52,163,54.333333333333336,C,good,math,1,1
female,Americans,some high school,high,completed,54,61,62,177,59.0,C,good,writing,0,0
female,Americans,master's degree,poor,completed,77,97,94,268,89.33333333333333,A,excellent,reading,0,1
female,Europeans,some high school,high,completed,76,87,85,248,82.66666666666667,A,excellent,reading,0,0
female,Africans,some college,high,none,74,89,84,247,82.33333333333333,A,excellent,reading,0,0
female,Arabians,some college,high,completed,66,74,73,213,71.0,A,excellent,reading,0,0
female,Africans,some high school,high,completed,66,78,78,222,74.0,A,excellent,reading,0,0
female,Americans,high school,poor,completed,67,78,79,224,74.66666666666667,A,excellent,writing,0,1
male,Africans,some college,high,none,71,49,52,172,57.333333333333336,C,good,math,1,0
female,Europeans,associate's degree,high,none,91,86,84,261,87.0,A,excellent,math,0,0
male,Africans,bachelor's degree,high,none,69,58,57,184,61.333333333333336,B,v. good,math,1,0
male,Europeans,master's degree,poor,none,54,59,50,163,54.333333333333336,C,good,reading,1,1
male,Europeans,high school,high,completed,53,52,49,154,51.333333333333336,C,good,math,1,0
male,Arabians,some college,high,none,68,60,59,187,62.333333333333336,B,v. good,math,1,0
male,Europeans,some high school,poor,completed,56,61,60,177,59.0,C,good,reading,1,1
female,Europeans,high school,poor,none,36,53,43,132,44.0,E,pass,reading,0,1
female,Africans,bachelor's degree,poor,none,29,41,47,117,39.0,F,weak,writing,0,1
female,Europeans,associate's degree,high,none,62,74,70,206,68.66666666666667,B,v. good,reading,0,0
female,Europeans,associate's degree,high,completed,68,67,73,208,69.33333333333333,B,v. good,writing,0,0
female,Europeans,some high school,high,none,47,54,53,154,51.333333333333336,C,good,reading,0,0
male,Arabians,associate's degree,high,completed,62,61,58,181,60.333333333333336,B,v. good,math,1,0
female,Arabians,associate's degree,high,completed,79,88,94,261,87.0,A,excellent,writing,0,0
male,Americans,high school,high,completed,73,69,68,210,70.0,A,excellent,math,1,0
female,Europeans,bachelor's degree,poor,completed,66,83,83,232,77.33333333333333,A,excellent,reading,0,1
male,Europeans,associate's degree,high,completed,51,60,58,169,56.333333333333336,C,good,reading,1,0
female,Africans,high school,high,none,51,66,62,179,59.666666666666664,C,good,reading,0,0
male,Arabians,bachelor's degree,high,completed,85,66,71,222,74.0,A,excellent,math,1,0
male,Asians,associate's degree,high,completed,97,92,86,275,91.66666666666667,A,excellent,math,1,0
male,Europeans,high school,high,completed,75,69,68,212,70.66666666666667,A,excellent,math,1,0
male,Africans,associate's degree,poor,completed,79,82,80,241,80.33333333333333,A,excellent,reading,1,1
female,Europeans,associate's degree,high,none,81,77,79,237,79.0,A,excellent,math,0,0
female,Africans,associate's degree,high,none,82,95,89,266,88.66666666666667,A,excellent,reading,0,0
female,Africans,master's degree,high,none,64,63,66,193,64.33333333333333,B,v. good,writing,0,0
male,Arabians,some high school,poor,completed,78,83,80,241,80.33333333333333,A,excellent,reading,1,1
female,Asians,some high school,high,completed,92,100,97,289,96.33333333333333,A,excellent,reading,0,0
male,Europeans,high school,high,completed,72,67,64,203,67.66666666666667,B,v. good,math,1,0
female,Europeans,high school,poor,none,62,67,64,193,64.33333333333333,B,v. good,reading,0,1
male,Europeans,master's degree,high,none,79,72,69,220,73.33333333333333,A,excellent,math,1,0
male,Europeans,some high school,poor,none,79,76,65,220,73.33333333333333,A,excellent,math,1,1
male,Americans,bachelor's degree,poor,completed,87,90,88,265,88.33333333333333,A,excellent,reading,1,1
female,Americans,associate's degree,high,none,40,48,50,138,46.0,D,fair,writing,0,0
male,Africans,some college,poor,none,77,62,64,203,67.66666666666667,B,v. good,math,1,1
male,Arabians,associate's degree,high,none,53,45,40,138,46.0,D,fair,math,1,0
female,Europeans,some college,poor,none,32,39,33,104,34.666666666666664,F,weak,reading,0,1
female,Europeans,associate's degree,high,completed,55,72,79,206,68.66666666666667,B,v. good,writing,0,0
male,Europeans,master's degree,poor,none,61,67,66,194,64.66666666666667,B,v. good,reading,1,1
female,Americans,associate's degree,poor,none,53,70,70,193,64.33333333333333,B,v. good,reading,0,1
male,Africans,some high school,high,none,73,66,62,201,67.0,B,v. good,math,1,0
female,Africans,some college,high,completed,74,75,79,228,76.0,A,excellent,writing,0,0
female,Europeans,some college,high,none,63,74,74,211,70.33333333333333,A,excellent,reading,0,0
male,Europeans,bachelor's degree,high,completed,96,90,92,278,92.66666666666667,A,excellent,math,1,0
female,Africans,some college,poor,completed,63,80,80,223,74.33333333333333,A,excellent,reading,0,1
male,Americans,bachelor's degree,poor,none,48,51,46,145,48.333333333333336,D,fair,reading,1,1
male,Americans,associate's degree,high,none,48,43,45,136,45.333333333333336,D,fair,math,1,0
female,Arabians,bachelor's degree,poor,completed,92,100,100,292,97.33333333333333,A,excellent,reading,0,1
female,Africans,master's degree,poor,completed,61,71,78,210,70.0,A,excellent,writing,0,1
male,Americans,high school,poor,none,63,48,47,158,52.666666666666664,C,good,math,1,1
male,Africans,bachelor's degree,poor,none,68,68,67,203,67.66666666666667,B,v. good,math,1,1
male,Americans,some college,high,completed,71,75,70,216,72.0,A,excellent,reading,1,0
male,Asians,bachelor's degree,high,none,91,96,92,279,93.0,A,excellent,reading,1,0
female,Europeans,some college,high,none,53,62,56,171,57.0,C,good,reading,0,0
female,Europeans,high school,poor,completed,50,66,64,180,60.0,B,v. good,reading,0,1
female,Arabians,high school,high,none,74,81,71,226,75.33333333333333,A,excellent,reading,0,0
male,Asians,associate's degree,poor,completed,40,55,53,148,49.333333333333336,D,fair,reading,1,1
male,Asians,some college,high,completed,61,51,52,164,54.666666666666664,C,good,math,1,0
female,Americans,high school,high,none,81,91,89,261,87.0,A,excellent,reading,0,0
female,Americans,some college,poor,completed,48,56,58,162,54.0,C,good,writing,0,1
female,Africans,master's degree,high,none,53,61,68,182,60.666666666666664,B,v. good,writing,0,0
female,Africans,some high school,high,none,81,97,96,274,91.33333333333333,A,excellent,reading,0,0
female,Arabians,some high school,high,none,77,79,80,236,78.66666666666667,A,excellent,writing,0,0
female,Africans,bachelor's degree,poor,none,63,73,78,214,71.33333333333333,A,excellent,writing,0,1
female,Africans,associate's degree,high,completed,73,75,80,228,76.0,A,excellent,writing,0,0
female,Africans,some college,high,none,69,77,77,223,74.33333333333333,A,excellent,reading,0,0
female,Europeans,associate's degree,high,none,65,76,76,217,72.33333333333333,A,excellent,reading,0,0
female,Asians,high school,high,none,55,73,73,201,67.0,B,v. good,reading,0,0
female,Europeans,bachelor's degree,poor,none,44,63,62,169,56.333333333333336,C,good,reading,0,1
female,Europeans,some college,high,none,54,64,65,183,61.0,B,v. good,writing,0,0
female,Asians,some high school,high,none,48,66,65,179,59.666666666666664,C,good,reading,0,0
male,Europeans,some college,poor,none,58,57,54,169,56.333333333333336,C,good,math,1,1
male,Asians,some high school,high,none,71,62,50,183,61.0,B,v. good,math,1,0
male,Arabians,bachelor's degree,high,none,68,68,64,200,66.66666666666667,B,v. good,math,1,0
female,Arabians,high school,high,none,74,76,73,223,74.33333333333333,A,excellent,reading,0,0
female,Europeans,bachelor's degree,high,completed,92,100,99,291,97.0,A,excellent,reading,0,0
female,Europeans,bachelor's degree,high,completed,56,79,72,207,69.0,B,v. good,reading,0,0
male,Americans,high school,poor,none,30,24,15,69,23.0,F,weak,math,1,1
male,Asians,some high school,high,none,53,54,48,155,51.666666666666664,C,good,reading,1,0
female,Africans,high school,high,none,69,77,73,219,73.0,A,excellent,reading,0,0
female,Africans,some high school,high,none,65,82,81,228,76.0,A,excellent,reading,0,0
female,Africans,master's degree,high,none,54,60,63,177,59.0,C,good,writing,0,0
female,Europeans,high school,high,none,29,29,30,88,29.333333333333332,F,weak,writing,0,0
female,Arabians,some college,high,none,76,78,80,234,78.0,A,excellent,writing,0,0
male,Africans,high school,poor,none,60,57,51,168,56.0,C,good,math,1,1
male,Africans,master's degree,poor,completed,84,89,90,263,87.66666666666667,A,excellent,writing,1,1
male,Europeans,some high school,high,none,75,72,62,209,69.66666666666667,B,v. good,math,1,0
female,Europeans,associate's degree,high,none,85,84,82,251,83.66666666666667,A,excellent,math,0,0
female,Europeans,master's degree,poor,none,40,58,54,152,50.666666666666664,C,good,reading,0,1
female,Arabians,some college,high,none,61,64,62,187,62.333333333333336,B,v. good,reading,0,0
female,Americans,associate's degree,high,none,58,63,65,186,62.0,B,v. good,writing,0,0
male,Africans,some college,poor,completed,69,60,63,192,64.0,B,v. good,math,1,1
female,Europeans,some college,high,none,58,59,66,183,61.0,B,v. good,writing,0,0
male,Europeans,bachelor's degree,high,completed,94,90,91,275,91.66666666666667,A,excellent,math,1,0
female,Europeans,associate's degree,high,none,65,77,74,216,72.0,A,excellent,reading,0,0
female,Asians,associate's degree,high,none,82,93,93,268,89.33333333333333,A,excellent,reading,0,0
female,Europeans,high school,high,none,60,68,72,200,66.66666666666667,B,v. good,writing,0,0
female,Arabians,bachelor's degree,high,none,37,45,38,120,40.0,E,pass,reading,0,0
male,Africans,bachelor's degree,high,none,88,78,83,249,83.0,A,excellent,math,1,0
male,Africans,master's degree,high,none,95,81,84,260,86.66666666666667,A,excellent,math,1,0
male,Europeans,associate's degree,poor,completed,65,73,68,206,68.66666666666667,B,v. good,reading,1,1
female,Europeans,high school,poor,none,35,61,54,150,50.0,C,good,reading,0,1
male,Americans,bachelor's degree,poor,none,62,63,56,181,60.333333333333336,B,v. good,reading,1,1
male,Europeans,high school,poor,completed,58,51,52,161,53.666666666666664,C,good,math,1,1
male,Asians,some college,high,completed,100,96,86,282,94.0,A,excellent,math,1,0
female,Arabians,bachelor's degree,poor,none,61,58,62,181,60.333333333333336,B,v. good,writing,0,1
male,Africans,some college,high,completed,100,97,99,296,98.66666666666667,A,excellent,math,1,0
male,Americans,associate's degree,poor,completed,69,70,63,202,67.33333333333333,B,v. good,reading,1,1
male,Africans,associate's degree,high,none,61,48,46,155,51.666666666666664,C,good,math,1,0
male,Africans,some college,poor,none,49,57,46,152,50.666666666666664,C,good,reading,1,1
female,Europeans,some high school,high,completed,44,51,55,150,50.0,C,good,writing,0,0
male,Africans,some college,high,none,67,64,70,201,67.0,B,v. good,writing,1,0
male,Americans,high school,high,none,79,60,65,204,68.0,B,v. good,math,1,0
female,Americans,bachelor's degree,high,completed,66,74,81,221,73.66666666666667,A,excellent,writing,0,0
female,Europeans,high school,high,none,75,88,85,248,82.66666666666667,A,excellent,reading,0,0
male,Africans,some high school,high,none,84,84,80,248,82.66666666666667,A,excellent,math,1,0
male,Asians,high school,high,none,71,74,64,209,69.66666666666667,B,v. good,reading,1,0
female,Americans,high school,poor,completed,67,80,81,228,76.0,A,excellent,writing,0,1
female,Africans,some high school,high,completed,80,92,88,260,86.66666666666667,A,excellent,reading,0,0
male,Arabians,some college,high,none,86,76,74,236,78.66666666666667,A,excellent,math,1,0
female,Africans,associate's degree,high,none,76,74,73,223,74.33333333333333,A,excellent,math,0,0
male,Africans,high school,high,none,41,52,51,144,48.0,D,fair,reading,1,0
female,Africans,associate's degree,poor,completed,74,88,90,252,84.0,A,excellent,writing,0,1
female,Americans,some high school,poor,none,72,81,79,232,77.33333333333333,A,excellent,reading,0,1
female,Arabians,high school,high,completed,74,79,80,233,77.66666666666667,A,excellent,writing,0,0
male,Americans,high school,high,none,70,65,60,195,65.0,B,v. good,math,1,0
female,Americans,bachelor's degree,high,completed,65,81,81,227,75.66666666666667,A,excellent,reading,0,0
female,Africans,associate's degree,high,none,59,70,65,194,64.66666666666667,B,v. good,reading,0,0
female,Arabians,high school,poor,none,64,62,68,194,64.66666666666667,B,v. good,writing,0,1
female,Americans,high school,high,none,50,53,55,158,52.666666666666664,C,good,writing,0,0
female,Africans,some college,high,completed,69,79,81,229,76.33333333333333,A,excellent,writing,0,0
male,Europeans,some high school,poor,completed,51,56,53,160,53.333333333333336,C,good,reading,1,1
female,Asians,high school,high,completed,68,80,76,224,74.66666666666667,A,excellent,reading,0,0
